academicDepartment,subjectArea,schoolBulletinPrefix,courseNumber,name,pointsMin,pointsMax
AHAR,AHIS,W,3895,Majors' Colloquium: the Literature and Methods of Art History,4,0
AHAR,AHIS,C,3001,Introduction to Architecture,3,0
AHAR,AHIS,V,3203,The Arts of Japan,3,0
AHAR,AHIS,V,3248,Greek Art and Architecture,3,0
AHAR,AHUM,V,3340,"Art In China, Japan, and Korea",3,0
AHAR,AHUM,V,3342,Masterpieces of Indian Art and Architecture,3,0
AHAR,AHIS,W,3650,Twentieth-Century Art,3,0
AHAR,AHIS,G,4601,Origins of Modern Visual Culture,3,0
AHAR,AHIS,BC,3985,Introduction To Connoisseurship,4,0
AHAR,AHIS,H,3320,Medieval Art and Architecture,0,0
AHAR,AHIS,H,3550,"French Architecture, 1750-1930 [In English]",0,0
AHAR,AHIS,H,3604,Seminar: Contemporary French Art,0,0
AHAR,AHIS,H,3715,"Art In Paris, 1900-1965",0,0
AHAR,AHIS,H,3720,"Artists In Convergence: African Arts and the Arts In France, 1900-1965",0,0
AHAR,AHIS,H,3993,Seminar: Planning Paris: Urban Form and National Politics,0,0
AHAR,AHIS,C,3980,Supervised Independent Study,1,3
AMST,AMST,W,3920,American Studies Senior Project Colloquium,1,0
ANCS,ANCS,V,3998,Directed Research In Ancient Studies,3,0
ANTH,ANTH,V,1007,The Origins of Human Society,3,0
ANTH,ANTH,V,1008,The Rise of Civilization,3,0
ANTH,ANTH,G,4147,Human Skeletal Biology I,3,0
ANTH,ANTH,V,3041,Anthropological Theory II,3,0
ANTH,ANTH,V,3160,The Body and Society,3,0
ANTH,ANTH,V,3939,The Anime Effect: Media and Technoculture in Japan,4,0
ANTH,ANTH,V,3947,"Text, Magic, Performance",4,0
ANTH,ANTH,V,3954,Bodies and Machines:  Anthropologies of  Technology,4,0
ANTH,ANTH,V,3960,The Culture of Public Art and Display In New York City,4,0
ANTH,ANTH,V,3969,Specters of Culture,4,0
ANTH,ANTH,V,3978,Dialogic Imagination in Opera,4,0
ANTH,ANTH,V,3983,Ideas and Society in the Caribbean,4,0
ANTH,ANTH,W,3997,Supervised Individual Research Course In Anthropology,2,6
ANTH,ANTH,W,3998,Supervised Individual Research Course In Anthropology,2,6
ANTH,ANTH,W,4358,Ireland,3,0
ANTH,ANTH,W,4440,Conflict Talk and the Legal Process,3,0
ANTH,ANHS,W,4650,"Political Identity, Civil Wars, and State Reform In Africa",3,0
APAM,APAM,E,3105,Programming methods for scientists and engineers,3,0
APAM,APMA,E,3101,Linear Algebra,3,0
APAM,APMA,E,3102,Partial Differential Equations,3,0
APAM,APMA,E,4001,Principles of Applied Mathematics,3,0
APAM,APMA,E,4101,Introduction to Dynamical Systems,3,0
APAM,APMA,E,4200,Partial Differential Equations,3,0
APAM,APMA,E,4204,Functions of a Complex Variable,3,0
APAM,APMA,E,4300,Introduction to Numerical Methods,3,0
APAM,APMA,E,4901,Seminar: Problems In Applied Mathematics,0,1
APAM,APMA,E,4903,Seminar: Problems in Applied Mathematics,3,4
APAM,APMA,E,6209,Approximation Theory,3,0
APAM,APMA,E,6301,Analytic methods for partial differential equations,3,0
APAM,APMA,E,6302,Numerical analysis of partial differential equations,3,0
APAM,APMA,E,6304,Integral transforms,3,0
APAM,APMA,E,6901,Special topics in applied mathematics,3,0
APAM,APMA,E,9101,Research,1,4
APAM,APPH,E,1300,Physics of the human body,3,0
APAM,APAM,E,1601,Introduction to computational mathematics and physics,3,0
APAM,APPH,E,3900,Undergraduate research in applied physics,0,0
APAM,APPH,E,4010,Introduction to nuclear science,3,0
APAM,APPH,E,4018,Applied physics laboratory,2,0
APAM,APPH,E,4100,Quantum physics of matter,3,0
APAM,APPH,E,4110,Modern optics,3,0
APAM,APPH,E,4112,Laser physics,3,0
APAM,CHAP,E,4120,Statistical mechanics,3,0
APAM,APPH,E,4200,Physics of fluids,3,0
APAM,APPH,E,4300,Applied electrodynamics,3,0
APAM,APPH,E,4301,Introduction to plasma physics,3,0
APAM,APPH,E,4500,Health physics,3,0
APAM,APPH,E,4550,Medical physics seminar,0,0
APAM,APPH,E,4710,"Radiation instrumentation and measurement laboratory, I and II",3,0
APAM,APPH,E,4901,Seminar: problems in applied physics,1,0
APAM,APPH,E,4903,Seminar: problems in applied physics,2,0
APAM,APPH,E,6081,"Solid state physics, I",3,0
APAM,APPH,E,6082,"Solid state physics, II",3,0
APAM,APPH,E,6101,"Plasma physics, I",3,0
APAM,APPH,E,6102,"Plasma physics, II",3,0
APAM,APPH,E,6110,Laser interactions with matter,3,0
APAM,APAM,E,6650,Research project,1,6
APAM,APPH,E,9142,Applied physics seminar,3,0
APAM,APAM,E,9301,Doctoral research,0,0
APAM,APAM,E,9800,Doctoral research instruction,0,0
APAM,APAM,E,9900,Doctoral dissertation,0,0
ARCB,ARCH,V,3117,Perceptions of Architecture,3,0
ARCB,ARCH,V,3211,"Architectural Design, III",4.5,0
ARCB,ARCH,V,3312,Special Topics In Architecture,3,0
ARCB,ARCH,V,3997,Independent Study,2,4
ARCB,ARCH,V,3101,Architectural Representation: Abstraction,4,0
ARCB,ARCH,V,3103,Architectural Representation: Perception,4,0
ARCB,ARCH,V,3201,"Architectural Design, I",4.5,0
ARCB,ARCH,V,3202,"Architectural Design, II",4.5,0
ARCB,ARCH,V,3901,Senior Seminar,4,0
ASMB,AHUM,V,3340,"Art In China, Japan, and Korea",3,0
ASMB,AHUM,V,3342,Masterpieces of Indian Art and Architecture,3,0
ASMB,AHUM,V,3343,Masterpieces of Islamic Art and Architecture,3,0
ASMB,ASCE,V,2002,Introduction To Major Topics in Asian Civilizations: East Asia,4,0
ASMB,ASCV,W,4320,Human Rights and Social Justice in Comparative Perspective,4,0
ASMB,AHMM,V,3320,Introduction To the Musics of East Asia and Southeast Asia,3,0
ASMB,AHMM,V,3321,Introduction To the Musics of India and West Asia,3,0
ASTR,ASTR,W,1234,The Universal Timekeeper: Reconstructing History Atom by Atom,3,0
ASTR,ASTR,W,1403,"Earth, Moon and Planets  (Lecture)",3,0
ASTR,ASTR,BC,1753,Life in the Universe,3,0
ASTR,ASTR,BC,1754,"Stars, Galaxies and Cosmology",3,0
ASTR,ASTR,W,1903,Astronomy Lab 1,1,0
ASTR,ASTR,C,1904,Astronomy Lab 2,1,0
ASTR,ASTR,W,2001,"Introduction To Astrophysics, I",3,0
ASTR,ASTR,W,2002,"Introduction To Astrophysics, II",3,0
ASTR,ASTR,C,2900,Frontiers of Astrophysics Research,1,0
ASTR,ASTR,W,3273,High Energy Astrophysics,3,0
BIOS,BIOL,C,1002,Theory and Practice of Science: Biology,4,0
BIOS,BIOL,W,1300,Environmental Science,3,0
BIOS,BIOL,C,2005,"Introductory Biology I: Biochemistry, Genetics & Molecular Biology",4,0
BIOS,BIOL,C,2006,"Introductory Biology II: Cell Biology, Development & Physiology",4,0
BIOS,BIOL,W,2501,Contemporary Biology Laboratory,3,0
BIOS,BIOL,C,2908,First-Year Seminar in Modern Biology,1,0
BIOS,BIOL,W,3002,Introduction to Animal Structure and Function,6,0
BIOS,BIOL,W,3004,Neurobiology I: Cellular and Molecular Neurobiology,4,0
BIOS,BIOL,W,3005,Neurobiology II: Development & Systems,4,0
BIOS,BIOL,W,3006,Physiology,3,0
BIOS,ENVB,W,3020,Molecular Evolution,3,0
BIOS,BIOL,W,3022,Developmental Biology,3,0
